"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.image_url1","Input.image_url2","Input.image_url3","Input.y_mean","Input.y_std","Answer.Density","Answer.Line","Answer.Scatter","Turkle.Username"
"42296","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3407","53","Wed Mar 03 13:33:00 UTC 2021","Wed Mar 03 13:36:07 UTC 2021","187","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/560/560_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/560/560_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/560/560_density_num.png","0.74","0.25","Best","Impossible","Doable","Prabhat"
"42297","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3408","53","Wed Mar 03 13:36:07 UTC 2021","Wed Mar 03 13:36:42 UTC 2021","34","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/365/365_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/365/365_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/365/365_density_num.png","0.89","0.24","Best","Impossible","Doable","Prabhat"
"42298","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3409","53","Wed Mar 03 13:36:42 UTC 2021","Wed Mar 03 13:37:03 UTC 2021","21","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1296/1296_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1296/1296_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1296/1296_density_num.png","0.50","0.29","Best","Impossible","Doable","Prabhat"
"42299","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3410","53","Wed Mar 03 13:37:03 UTC 2021","Wed Mar 03 13:37:26 UTC 2021","22","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/60/60_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/60/60_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/60/60_density_num.png","0.63","0.27","Doable","Doable","Best","Prabhat"
"42300","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3411","53","Wed Mar 03 13:37:26 UTC 2021","Wed Mar 03 13:38:10 UTC 2021","44","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_density_num.png","0.36","0.18","Best","Impossible","Impossible","Prabhat"
"42301","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3412","53","Wed Mar 03 13:38:10 UTC 2021","Wed Mar 03 13:40:13 UTC 2021","123","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/827/827_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/827/827_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/827/827_density_num.png","0.30","0.26","Best","Impossible","Doable","Prabhat"
"42302","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3413","53","Wed Mar 03 13:40:14 UTC 2021","Wed Mar 03 13:40:27 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/287/287_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/287/287_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/287/287_density_num.png","0.41","0.45","Best","Impossible","Doable","Prabhat"
"42303","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3414","53","Wed Mar 03 13:40:27 UTC 2021","Wed Mar 03 13:40:47 UTC 2021","20","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_density_num.png","0.48","0.31","Doable","Impossible","Best","Prabhat"
"42304","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3415","53","Wed Mar 03 13:40:47 UTC 2021","Wed Mar 03 13:41:01 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_density_num.png","0.49","0.34","Best","Doable","Doable","Prabhat"
"42305","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3416","53","Wed Mar 03 13:41:01 UTC 2021","Wed Mar 03 13:42:25 UTC 2021","84","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1148/1148_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1148/1148_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1148/1148_density_num.png","0.12","0.19","Best","Doable","Doable","Prabhat"
"42306","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3417","53","Wed Mar 03 13:42:25 UTC 2021","Wed Mar 03 13:42:33 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1106/1106_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1106/1106_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1106/1106_density_num.png","0.54","0.33","Best","Impossible","Doable","Prabhat"
"42307","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3418","53","Wed Mar 03 13:42:33 UTC 2021","Wed Mar 03 13:42:46 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1351/1351_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1351/1351_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1351/1351_density_num.png","0.55","0.24","Best","Impossible","Impossible","Prabhat"
"42308","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3419","53","Wed Mar 03 13:42:46 UTC 2021","Wed Mar 03 13:42:59 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1366/1366_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1366/1366_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1366/1366_density_num.png","0.63","0.27","Doable","Impossible","Best","Prabhat"
"42309","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3420","53","Wed Mar 03 13:42:59 UTC 2021","Wed Mar 03 13:43:12 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/173/173_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/173/173_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/173/173_density_num.png","0.50","0.71","Doable","Doable","Best","Prabhat"
