"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.image_url1","Answer.fraction","Turkle.Username"
"42786","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3762","54","Thu Mar 03 09:56:37 UTC 2021","Thu Mar 03 09:56:42 UTC 2021","4","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/961/961_line_num.png",".3","Skandregula"
"42787","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3770","54","Thu Mar 03 10:01:00 UTC 2021","Thu Mar 03 10:01:04 UTC 2021","4","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/871/871_density_num.png",".5","Skandregula"
"42788","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3771","54","Thu Mar 03 10:01:04 UTC 2021","Thu Mar 03 10:01:17 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_scatter_num.png",".6","Skandregula"
"42789","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3772","54","Thu Mar 03 10:01:17 UTC 2021","Thu Mar 03 10:01:23 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_scatter_num.png",".3","Skandregula"
"42790","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3773","54","Thu Mar 03 10:01:23 UTC 2021","Thu Mar 03 10:01:30 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_scatter_num.png",".5","Skandregula"
"42791","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3774","54","Thu Mar 03 10:01:30 UTC 2021","Thu Mar 03 10:01:39 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1351/1351_scatter_num.png",".5","Skandregula"
"42792","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3775","54","Thu Mar 03 10:01:39 UTC 2021","Thu Mar 03 10:01:51 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_scatter_num.png",".2","Skandregula"
"42793","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3776","54","Thu Mar 03 10:01:51 UTC 2021","Thu Mar 03 10:02:10 UTC 2021","18","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_scatter_num.png",".42","Skandregula"
"42794","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3777","54","Thu Mar 03 10:02:10 UTC 2021","Thu Mar 03 10:02:23 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_line_num.png",".35","Skandregula"
"42795","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3778","54","Thu Mar 03 10:02:23 UTC 2021","Thu Mar 03 10:02:34 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_scatter_num.png",".35","Skandregula"
"42796","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3779","54","Thu Mar 03 10:02:34 UTC 2021","Thu Mar 03 10:02:47 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_line_num.png",".25","Skandregula"
"42797","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3780","54","Thu Mar 03 10:02:47 UTC 2021","Thu Mar 03 10:02:55 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1425/1425_line_num.png",".5","Skandregula"
"42798","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3781","54","Thu Mar 03 10:02:55 UTC 2021","Thu Mar 03 10:03:05 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1086/1086_line_num.png",".45","Skandregula"
"42799","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3782","54","Thu Mar 03 10:03:05 UTC 2021","Thu Mar 03 10:03:17 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1425/1425_density_num.png",".35","Skandregula"
"42800","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3783","54","Thu Mar 03 10:03:17 UTC 2021","Thu Mar 03 10:03:28 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/560/560_line_num.png",".88","Skandregula"
"42801","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3784","54","Thu Mar 03 10:03:28 UTC 2021","Thu Mar 03 10:03:36 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1104/1104_density_num.png",".05","Skandregula"
"42802","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3785","54","Thu Mar 03 10:03:36 UTC 2021","Thu Mar 03 10:03:52 UTC 2021","16","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_density_num.png",".35","Skandregula"
"42803","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3786","54","Thu Mar 03 10:03:52 UTC 2021","Thu Mar 03 10:04:03 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_density_num.png",".52","Skandregula"
"42804","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3787","54","Thu Mar 03 10:04:03 UTC 2021","Thu Mar 03 10:04:13 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1148/1148_line_num.png",".15","Skandregula"
"42805","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3788","54","Thu Mar 03 10:04:13 UTC 2021","Thu Mar 03 10:04:24 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_density_num.png",".25","Skandregula"
"42806","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3789","54","Thu Mar 03 10:05:45 UTC 2021","Thu Mar 03 10:06:02 UTC 2021","16","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/173/173_density_num.png",".5","Skandregula"
"42807","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3790","54","Thu Mar 03 10:06:11 UTC 2021","Thu Mar 03 10:06:19 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/827/827_scatter_num.png",".2","Skandregula"
"42808","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3791","54","Thu Mar 03 10:06:20 UTC 2021","Thu Mar 03 10:06:43 UTC 2021","23","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1106/1106_line_num.png",".65","Skandregula"
"42809","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3792","54","Thu Mar 03 10:06:43 UTC 2021","Thu Mar 03 10:07:00 UTC 2021","16","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/560/560_scatter_num.png",".83","Skandregula"
"42810","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3793","54","Thu Mar 03 10:07:00 UTC 2021","Thu Mar 03 10:07:11 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1401/1401_scatter_num.png",".6","Skandregula"
"42811","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3794","54","Thu Mar 03 10:07:12 UTC 2021","Thu Mar 03 10:07:18 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/696/696_line_num.png",".4","Skandregula"
"42812","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3795","54","Thu Mar 03 10:07:18 UTC 2021","Thu Mar 03 10:07:27 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/287/287_density_num.png",".35","Skandregula"
"42813","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3796","54","Thu Mar 03 10:07:27 UTC 2021","Thu Mar 03 10:07:36 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/898/898_density_num.png",".8","Skandregula"
"42814","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3797","54","Thu Mar 03 10:07:36 UTC 2021","Thu Mar 03 10:07:50 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1104/1104_scatter_num.png",".2","Skandregula"
"42815","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3798","54","Thu Mar 03 10:07:50 UTC 2021","Thu Mar 03 10:08:03 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/849/849_line_num.png",".35","Skandregula"
"42816","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3799","54","Thu Mar 03 10:08:03 UTC 2021","Thu Mar 03 10:08:21 UTC 2021","17","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/117/117_line_num.png",".55","Skandregula"
"42817","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3800","54","Thu Mar 03 10:08:21 UTC 2021","Thu Mar 03 10:08:30 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_line_num.png",".25","Skandregula"
"42818","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3801","54","Thu Mar 03 10:08:30 UTC 2021","Thu Mar 03 10:08:36 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1235/1235_line_num.png",".35","Skandregula"
"42819","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3802","54","Thu Mar 03 10:08:36 UTC 2021","Thu Mar 03 10:08:48 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/287/287_line_num.png",".4","Skandregula"
"42820","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3803","54","Thu Mar 03 10:08:48 UTC 2021","Thu Mar 03 10:08:55 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1148/1148_scatter_num.png",".3","Skandregula"
"42821","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3804","54","Thu Mar 03 10:08:55 UTC 2021","Thu Mar 03 10:09:04 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1296/1296_scatter_num.png",".5","Skandregula"
"42822","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3842","54","Thu Mar 03 10:15:37 UTC 2021","Thu Mar 03 10:15:50 UTC 2021","13","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/16/16_density_num.png",".6","Skandregula"
"42824","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3905","54","Thu Mar 03 10:43:20 UTC 2021","Thu Mar 03 10:43:32 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1366/1366_line_num.png",".72","Skandregula"
"42825","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3906","54","Thu Mar 03 10:43:32 UTC 2021","Thu Mar 03 10:43:39 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/827/827_line_num.png",".4","Skandregula"
"42826","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3907","54","Thu Mar 03 10:43:39 UTC 2021","Thu Mar 03 10:43:52 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_line_num.png",".42","Skandregula"
"42827","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3908","54","Thu Mar 03 10:43:52 UTC 2021","Thu Mar 03 10:44:01 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/3/3_density_num.png",".87","Skandregula"
"42828","19","Q3_threshold","Thu Mar 03 07:58:55 UTC 2021","1","86400","3909","54","Thu Mar 03 10:44:01 UTC 2021","Thu Mar 03 10:44:10 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_line_num.png",".68","Skandregula"
