"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.image_url1","Answer.fraction","Turkle.Username"
"42891","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3763","54","Thu Mar 03 09:56:56 UTC 2021","Thu Mar 03 09:57:00 UTC 2021","4","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/961/961_line_num.png",".7","Skandregula"
"42892","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3805","54","Thu Mar 03 10:09:34 UTC 2021","Thu Mar 03 10:09:44 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/871/871_density_num.png",".42","Skandregula"
"42893","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3806","54","Thu Mar 03 10:09:45 UTC 2021","Thu Mar 03 10:09:52 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_scatter_num.png",".55","Skandregula"
"42894","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3807","54","Thu Mar 03 10:09:52 UTC 2021","Thu Mar 03 10:09:59 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_scatter_num.png",".4","Skandregula"
"42895","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3808","54","Thu Mar 03 10:09:59 UTC 2021","Thu Mar 03 10:10:06 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_scatter_num.png",".5","Skandregula"
"42896","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3809","54","Thu Mar 03 10:10:06 UTC 2021","Thu Mar 03 10:10:15 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1351/1351_scatter_num.png",".55","Skandregula"
"42897","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3810","54","Thu Mar 03 10:10:16 UTC 2021","Thu Mar 03 10:10:25 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_scatter_num.png",".45","Skandregula"
"42898","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3811","54","Thu Mar 03 10:10:25 UTC 2021","Thu Mar 03 10:10:34 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/874/874_scatter_num.png",".48","Skandregula"
"42899","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3812","54","Thu Mar 03 10:10:34 UTC 2021","Thu Mar 03 10:10:45 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/289/289_line_num.png",".6","Skandregula"
"42900","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3813","54","Thu Mar 03 10:10:45 UTC 2021","Thu Mar 03 10:10:51 UTC 2021","5","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1200/1200_scatter_num.png",".99","Skandregula"
"42901","20","Q4_xlimit","Thu Mar 03 07:59:17 UTC 2021","1","86400","3814","54","Thu Mar 03 10:10:51 UTC 2021","Thu Mar 03 10:11:01 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_line_num.png",".6","Skandregula"
